key,description
一般內科,一般內科病症、痛風、慢性疲勞症候群、老人病症、腎臟病、胃腸肝膽疾病、一般常規血液或血球檢驗、貧血、血液或血球異常之疾病者、不明原因出血、心臟病、高血壓、心律不整、發燒、氣喘、藥物過敏、氣管炎、肺炎、急性腸胃炎、胃炎等。
胸腔內科,感冒、咳嗽、咳血、呼吸道感染、支氣管炎、肺炎、胸痛、胸悶、呼吸困難、氣喘症、肺氣腫、肺結核、肺膿瘍、肺腫瘤、肺癌、塵肺症、職業性肺疾病、支氣管擴張症等各種肺部疾病及肺功能檢查。
感染科,感冒、發燒、呼吸道感染、泌尿道感染、蜂窩性組織炎、結核病、身體各部位感染、愛滋病毒感染、不明熱及一般內科病症。
胃腸肝膽科,吞嚥因難、任何原因所引起之腹痛、腹部不舒服、食慾不振、疑似腹內腫瘤、胃及十二指腸潰瘍、黑色便、上吐下瀉、吐血、皮膚泛黃、肝功能指數異常、B型肝炎、C型肝炎、肝膽結石、疑似肝硬化、疑似肝腫瘤、不明原因體重下降、大腸癌篩檢、血便。
免疫風濕科,1.各式關節炎(紅、腫、熱、痛、活動受限)、高尿酸、痛風、骨關節炎、僵直性脊椎炎等。2.各式免疫風濕病:紅斑性狼瘡(SLE)、類風濕性關節炎、多發性肌炎、皮肌炎、硬皮症、僵直性脊椎炎、乾癬併發關節炎、貝賽特氏症候群等。3.各式血管炎及抗磷脂症候群。4.乾燥症(嘴乾、口乾、眼睛乾等症狀)。
腎臟內科,腎臟發炎、血尿、蛋白尿、尿量過多或過少、水腫、尿毒症、腎結石、泌尿道感染、電解質不平衡(如鈉、鉀、鈣、磷)、酸中毒、鹼中毒、藥物中毒、痛風、糖尿病、高血壓、夜尿、洗腎相關併發症。
新陳代謝內分泌科,甲狀腺疾病、糖尿病、肥胖、高血脂症、高尿酸、痛風、腦下垂體病變、腎上腺、副甲狀腺病變及各種內分泌異常、肢端肥大症。
心臟內科,胸痛、胸悶、喘、心悸、血壓高、心跳不規律、心雜音、腳腫、間歇跛行。
心臟外科,心臟冠狀動脈阻塞、瓣膜性心臟病、感染性心內膜炎、主動脈疾病、主動脈剝離、胸腹主動脈瘤、先天性心臟病。血管週邊動脈阻塞性疾病、洗腎用動靜脈廔管、洗腎用靜脈導管、化療或長期輸液之Port-A植入、靜脈曲張、靜脈栓塞等。
普通外科,外傷換藥、拆線；皮膚疾病治療(如:脂肪瘤、皮下腫塊、雞眼、皮脂腺囊腫、其他皮膚腫瘤、甲溝炎)。
神經外科,頭痛、噁心嘔吐及視力模糊是顱內壓上升的徵象，可能是腦腫瘤、腦膿瘍、水腦症等，應儘早就醫。意識障礙、半身不遂、下半身麻痺、忽然發生的頸部僵硬及嚴重頭痛可能是腦中風出血或其他神經外科急症，應火速就醫。坐骨神經痛或頸椎痛延伸至手掌是椎間盤突出或骨刺壓迫神經引起的，若服藥、復健無效，仍以手術根本治療為宜、以免神經受壓迫太久而無法復原。頭部外傷、脊椎脊髓外傷、三叉神經痛、背痛、眩暈、手掌多汗症、腕隧道症候群等均可看神經外科醫師。
大直腸肛門科,大便出血、慢性貧血、長期便秘、腹脹、腹瀉、大便習慣改變、大便變細、大便頻繁、大便失禁、長期性腹痛、肛門腫痛、肛門脫垂、肛門周圍結節或化膿。治療內容:內外痔(橡皮筋結紮法)、肛門膿瘍及廔管、肛裂、下腸胃道出血、脫肛、腸躁症、大腸憩室症、大腸直腸炎、大腸直腸良性腫瘤、大腸直腸癌高危險群篩檢、大腸直腸惡性腫瘤、大腸鏡檢。
